light,materials,icons,temp,ambiance,noise
window,color*,divers*,cold,ambian*,distraction*
light*,wood*,icon*,hot,cozy,construction
dark*,metal*,portrait*,warm*,formal,ambient
bright*,chrom*,painting*,freezing,informal,sound*
dim*,smooth,drawing*,temp*,casual,voice*
ambient,clean,poster*,AC,vibe*,background
shiny,rough,representation*,conditioning,comf*,audibl*
natural,natural,race*,heating,modern,audio*
sunlight,material,racist,cooling,professional,boom*
gleam*,concrete,picture*,air,classy,choir*
glow*,green*,minorit*,ventilat*,upscale,concert*
lumin*,plant,belong*,co2,aesthetic,deaf*
glass,brick,background*,oxygen,old,ear
background,steel,,breath*,antique,ears
,plastic,,smell*,fun,harmon*
,glass,,,lively,hear
,paint,,,weird,heard
,decor,,,creepy,hearing
,style,,,bizarre,hears
,brush*,,,whims*,hush*
,caress*,,,,inaudibl*
,cold*,,,,listen
,cool*,,,,listened
,drie*,,,,listener*
,drily,,,,listening
,dry*,,,,listens
,edge,,,,loud*
,edges,,,,musi*
,edging,,,,noise
,feel,,,,noises
,feeling*,,,,noisy
,feels,,,,quiet*
,felt,,,,rang
,finger*,,,,ring
,fire,,,,ringing
,flexib*,,,,rings
,fragil*,,,,scream*
,freez*,,,,shout*
,froze*,,,,silen*
,fuzz*,,,,song*
,grab*,,,,sound*
,grip,,,,thunder*
,gripp*,,,,voic*
,grips,,,,whisper*
,hair*,,,,yell
,hard,,,,yelled
,harde*,,,,yelling
,heavie*,,,,yells
,heavy*,,,,
,hot,,,,
,hott*,,,,
,leather*,,,,
,limp*,,,,
,loose*,,,,
,press,,,,
,pressed,,,,
,presser*,,,,
,presses,,,,
,rough*,,,,
,round*,,,,
,rub,,,,
,rubbed,,,,
,rubbing,,,,
,rubs,,,,
,sand,,,,
,sands,,,,
,sandy,,,,
,scratch*,,,,
,sharp*,,,,
,silk*,,,,
,skin,,,,
,skin'*,,,,
,smooth*,,,,
,soft*,,,,
,squeez*,,,,
,stroke*,,,,
,stroki*,,,,
,thick*,,,,
,thin,,,,
,thinn*,,,,
,tight*,,,,
,touch*,,,,
,warm*,,,,
,weight,,,,
,weighted,,,,
,weighting,,,,
,weightless*,,,,
,weightlift*,,,,
,weights,,,,
,wet,,,,
,wetly,,,,
,background*,,,,
,walls,,,,
